Adult2OtherChild,Adult2Others,Adult2TargetChild,Adult2unsure,Adultfemale,Adultmale,Childvoc,Media,Multiple_adults,Otherchild2OtherChild,Otherchild2TargetChild,Otherchild2adults,Otherchild2unsure,PID,Unsure_adults,age_YYMMDD,annotate_date_YYYYMMDD,annotator,beginoptions,comments,date_YYYYMMDD,file_name,gender,id,outdir,percents_voc,repeats,researcher_present,sleeping,timestamp_HHMMSS,Childsleep
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,180904,44:26.8,Meg,Categorize clip,,20190628,1075_180904_419.wav,male,1075,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1075/30secs_output,0,0,0,1,03:29:30,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,180904,44:27.7,Meg,Categorize clip,,20190628,1075_180904_544.wav,male,1075,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1075/30secs_output,0,0,0,0,04:32:00,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,180904,45:01.6,Meg,Categorize clip,,20190628,1075_180904_719.wav,male,1075,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1075/30secs_output,0,0,0,1,05:59:30,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,180904,45:02.3,Meg,Categorize clip,,20190628,1075_180904_322.wav,male,1075,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1075/30secs_output,0.019333333,0,0,1,02:41:00,
Categorize language to other child(ren),English/Quechua,Categorize language to target child,Categorize language to someone unknown,1,1,0,Categorize media,1,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,180904,46:10.1,Meg,Categorize clip,,20190628,1075_180904_877.wav,male,1075,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1075/30secs_output,0.167666667,0,0,0,07:18:30,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,English/Quechua,1,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,180904,46:44.8,Meg,Categorize clip,,20190628,1075_180904_120.wav,male,1075,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1075/30secs_output,0.118666667,0,0,0,01:00:00,
English/Quechua,Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,1,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Unsure,Categorize language to someone unknown,0,0,180904,47:41.8,Meg,Categorize clip,,20190628,1075_180904_093.wav,male,1075,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1075/30secs_output,0.167666667,0,0,0,00:46:30,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,180904,47:43.4,Meg,Categorize clip,,20190628,1075_180904_386.wav,male,1075,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1075/30secs_output,0,0,0,1,03:13:00,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,180904,47:44.4,Meg,Categorize clip,,20190628,1075_180904_307.wav,male,1075,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1075/30secs_output,0,0,0,1,02:33:30,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,180904,47:45.0,Meg,Categorize clip,,20190628,1075_180904_413.wav,male,1075,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1075/30secs_output,0,0,0,1,03:26:30,
