Adult2OtherChild,Adult2Others,Adult2TargetChild,Adult2unsure,Adultfemale,Adultmale,Childvoc,Media,Multiple_adults,Otherchild2OtherChild,Otherchild2TargetChild,Otherchild2adults,Otherchild2unsure,PID,Unsure_adults,age_YYMMDD,annotate_date_YYYYMMDD,annotator,beginoptions,comments,date_YYYYMMDD,file_name,gender,id,outdir,percents_voc,repeats,researcher_present,sleeping,timestamp_HHMMSS,Childsleep
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,1/1/13,02:20.0,Anele,Categorize clip,,1/8/13,198-9mo_01-01-2013_0196.wav,female,198-9mo,/Volumes/cll/NYU LENA Project/Recordings/9-mo recordings/198 9-mo output,0,0,0,1,01:38:00,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,1/1/13,11:44.9,Anele,Categorize clip,,1/8/13,198-9mo_01-01-2013_1108.wav,female,198-9mo,/Volumes/cll/NYU LENA Project/Recordings/9-mo recordings/198 9-mo output,0,0,0,1,09:14:00,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,1,English/Quechua,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,1/1/13,12:25.7,Anele,Categorize clip,,1/8/13,198-9mo_01-01-2013_1375.wav,female,198-9mo,/Volumes/cll/NYU LENA Project/Recordings/9-mo recordings/198 9-mo output,0.592,0,0,0,11:27:30,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,0,No Language,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,1/1/13,13:04.4,Anele,No speech,,1/8/13,198-9mo_01-01-2013_0842.wav,female,198-9mo,/Volumes/cll/NYU LENA Project/Recordings/9-mo recordings/198 9-mo output,0.135,0,0,0,07:01:00,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,1/1/13,13:06.7,Anele,Categorize clip,,1/8/13,198-9mo_01-01-2013_1336.wav,female,198-9mo,/Volumes/cll/NYU LENA Project/Recordings/9-mo recordings/198 9-mo output,0,0,0,1,11:08:00,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Spanish,0,0,1,Spanish,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,1/1/13,14:22.9,Anele,Categorize clip,,1/8/13,198-9mo_01-01-2013_1598.wav,female,198-9mo,/Volumes/cll/NYU LENA Project/Recordings/9-mo recordings/198 9-mo output,0.404333333,1,0,0,13:19:00,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,1/1/13,14:25.6,Anele,Categorize clip,,1/8/13,198-9mo_01-01-2013_0753.wav,female,198-9mo,/Volumes/cll/NYU LENA Project/Recordings/9-mo recordings/198 9-mo output,0,0,0,1,06:16:30,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,1,English/Quechua,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,1/1/13,15:04.4,Anele,Categorize clip,,1/8/13,198-9mo_01-01-2013_0882.wav,female,198-9mo,/Volumes/cll/NYU LENA Project/Recordings/9-mo recordings/198 9-mo output,0.595,0,0,0,07:21:00,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Spanish,0,0,0,English/Quechua,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,1/1/13,16:27.2,Anele,Categorize clip,,1/8/13,198-9mo_01-01-2013_1495.wav,female,198-9mo,/Volumes/cll/NYU LENA Project/Recordings/9-mo recordings/198 9-mo output,0.663333333,1,0,0,12:27:30,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,1/1/13,16:31.2,Anele,Categorize clip,,1/8/13,198-9mo_01-01-2013_1130.wav,female,198-9mo,/Volumes/cll/NYU LENA Project/Recordings/9-mo recordings/198 9-mo output,0,0,0,1,09:25:00,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,1/1/13,16:32.9,Anele,Categorize clip,,1/8/13,198-9mo_01-01-2013_0903.wav,female,198-9mo,/Volumes/cll/NYU LENA Project/Recordings/9-mo recordings/198 9-mo output,0,0,0,1,07:31:30,
English/Quechua,Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,1,0,1,Spanish,0,Categorize language to other child(ren),Categorize language to target child,English/Quechua,Categorize language to someone unknown,0,0,1/1/13,18:26.9,Anele,Categorize clip,The other child is asking questions about the LENA recorder to the parent.,1/8/13,198-9mo_01-01-2013_1762.wav,female,198-9mo,/Volumes/cll/NYU LENA Project/Recordings/9-mo recordings/198 9-mo output,0.150666667,1,0,0,14:41:00,
