Adult2OtherChild,Adult2Others,Adult2TargetChild,Adult2unsure,Adultfemale,Adultmale,Childvoc,Media,Multiple_adults,Otherchild2OtherChild,Otherchild2TargetChild,Otherchild2adults,Otherchild2unsure,PID,Unsure_adults,age_YYMMDD,annotate_date_YYYYMMDD,annotator,beginoptions,comments,date_YYYYMMDD,file_name,gender,id,outdir,percents_voc,repeats,researcher_present,sleeping,timestamp_HHMMSS,Childsleep
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Spanish,0,1,0,Spanish,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,20140514,31:59.6,Anele,Categorize clip,,20140722,199_20140514_1657.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.742666667,1,0,1,13:48:30,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,0,Unsure,0,Categorize language to other child(ren),Spanish,Categorize language to adults,Categorize language to someone unknown,0,0,20140514,33:17.6,Anele,Categorize clip,,20140722,199_20140514_0711.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.521666667,1,0,0,05:55:30,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,20140514,28:01.2,Anele,Categorize clip,,20140722,199_20140514_0280.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.062,0,0,1,02:20:00,
English/Quechua,Categorize language to other adults,Categorize language to target child,Spanish,0,1,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,English/Quechua,Categorize language to someone unknown,0,0,20140514,37:22.6,Anele,Categorize clip,The AM seems to be a karate instructor,20140722,199_20140514_0947.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.344666667,1,0,0,07:53:30,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Spanish,1,0,0,Spanish,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Unsure,0,0,20140514,39:48.3,Anele,Categorize clip,,20140722,199_20140514_1633.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.791333333,2,0,0,13:36:30,
Categorize language to other child(ren),Spanish,Categorize language to target child,Spanish,0,0,1,Spanish,1,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,20140514,46:27.6,Anele,Categorize clip,,20140722,199_20140514_1490.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.729,4,0,0,12:25:00,
Spanish,Categorize language to other adults,Spanish,Categorize language to someone unknown,1,0,1,Spanish,0,Categorize language to other child(ren),Unsure,Spanish,Categorize language to someone unknown,0,0,20140514,48:53.7,Anele,Categorize clip,,20140722,199_20140514_0832.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.602,2,0,0,06:56:00,
Categorize language to other child(ren),Spanish,Spanish,Categorize language to someone unknown,1,0,0,No Language,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,20140514,28:42.1,Anele,Categorize clip,,20140722,199_20140514_0863.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.236666667,3,0,0,07:11:30,
Categorize language to other child(ren),Categorize language to other adults,Spanish,Categorize language to someone unknown,1,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,20140514,42:37.7,Anele,Categorize clip,,20140722,199_20140514_0076.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.25,0,0,0,00:38:00,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,1,Unsure,0,Categorize language to other child(ren),Spanish,Categorize language to adults,Categorize language to someone unknown,0,0,20140514,43:59.7,Anele,Categorize clip,,20140722,199_20140514_1203.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.362666667,1,0,0,10:01:30,
