file_name,id,age_YYMMDD,date_YYYYMMDD,gender,timestamp_HHMMSS,percents_voc,researcher_present,sleeping
267-12mo_01-01-2013_0000.wav,267-12mo,1/1/13,1/1/14,male,00:00:00,0.011666667,0,1
267-12mo_01-01-2013_0001.wav,267-12mo,1/1/13,1/1/14,male,00:00:30,0.000666667,0,1
267-12mo_01-01-2013_0002.wav,267-12mo,1/1/13,1/1/14,male,00:01:00,0,0,1
267-12mo_01-01-2013_0003.wav,267-12mo,1/1/13,1/1/14,male,00:01:30,0.215333333,0,1
267-12mo_01-01-2013_0004.wav,267-12mo,1/1/13,1/1/14,male,00:02:00,0.001666667,0,1
267-12mo_01-01-2013_0005.wav,267-12mo,1/1/13,1/1/14,male,00:02:30,0,0,1
267-12mo_01-01-2013_0006.wav,267-12mo,1/1/13,1/1/14,male,00:03:00,0,0,1
267-12mo_01-01-2013_0007.wav,267-12mo,1/1/13,1/1/14,male,00:03:30,0,0,1
267-12mo_01-01-2013_0008.wav,267-12mo,1/1/13,1/1/14,male,00:04:00,0,0,1
267-12mo_01-01-2013_0009.wav,267-12mo,1/1/13,1/1/14,male,00:04:30,0,0,1
267-12mo_01-01-2013_0010.wav,267-12mo,1/1/13,1/1/14,male,00:05:00,0,0,1
267-12mo_01-01-2013_0011.wav,267-12mo,1/1/13,1/1/14,male,00:05:30,0,0,1
267-12mo_01-01-2013_0012.wav,267-12mo,1/1/13,1/1/14,male,00:06:00,0,0,1
267-12mo_01-01-2013_0013.wav,267-12mo,1/1/13,1/1/14,male,00:06:30,0,0,1
267-12mo_01-01-2013_0014.wav,267-12mo,1/1/13,1/1/14,male,00:07:00,0,0,1
267-12mo_01-01-2013_0015.wav,267-12mo,1/1/13,1/1/14,male,00:07:30,0,0,1
267-12mo_01-01-2013_0016.wav,267-12mo,1/1/13,1/1/14,male,00:08:00,0,0,1
267-12mo_01-01-2013_0017.wav,267-12mo,1/1/13,1/1/14,male,00:08:30,0.000333333,0,1
267-12mo_01-01-2013_0018.wav,267-12mo,1/1/13,1/1/14,male,00:09:00,0,0,1
267-12mo_01-01-2013_0019.wav,267-12mo,1/1/13,1/1/14,male,00:09:30,0,0,1
267-12mo_01-01-2013_0020.wav,267-12mo,1/1/13,1/1/14,male,00:10:00,0,0,1
267-12mo_01-01-2013_0021.wav,267-12mo,1/1/13,1/1/14,male,00:10:30,0,0,1
267-12mo_01-01-2013_0022.wav,267-12mo,1/1/13,1/1/14,male,00:11:00,0,0,1
267-12mo_01-01-2013_0023.wav,267-12mo,1/1/13,1/1/14,male,00:11:30,0,0,1
267-12mo_01-01-2013_0024.wav,267-12mo,1/1/13,1/1/14,male,00:12:00,0,0,1
267-12mo_01-01-2013_0025.wav,267-12mo,1/1/13,1/1/14,male,00:12:30,0,0,1
267-12mo_01-01-2013_0026.wav,267-12mo,1/1/13,1/1/14,male,00:13:00,0,0,1
267-12mo_01-01-2013_0027.wav,267-12mo,1/1/13,1/1/14,male,00:13:30,0,0,1
267-12mo_01-01-2013_0028.wav,267-12mo,1/1/13,1/1/14,male,00:14:00,0,0,1
267-12mo_01-01-2013_0029.wav,267-12mo,1/1/13,1/1/14,male,00:14:30,0,0,1
