Adult2OtherChild,Adult2Others,Adult2TargetChild,Adult2unsure,Adultfemale,Adultmale,Childsleep,Childvoc,Media,Multiple_adults,Otherchild2OtherChild,Otherchild2TargetChild,Otherchild2adults,Otherchild2unsure,PID,Unsure_adults,age_YYMMDD,annotate_date_YYYYMMDD,annotator,beginoptions,comments,date_YYYYMMDD,file_name,gender,id,outdir,percents_voc,repeats,researcher_present,sleeping,timestamp_HHMMSS
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Spanish,0,0,0,0,Categorize media,0,Categorize language to other child(ren),Spanish,Categorize language to adults,Categorize language to someone unknown,0,0,20140514,41:15.7,Anele,Categorize clip,,20140722,199_20140514_0001.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.072333333,1,0,0,00:00:30
Categorize language to other child(ren),Categorize language to other adults,Spanish,Categorize language to someone unknown,1,0,0,1,Categorize media,0,Categorize language to other child(ren),Spanish,Spanish,Categorize language to someone unknown,0,0,20140514,43:18.5,Anele,Categorize clip,,20140722,199_20140514_0003.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.141666667,1,0,0,00:01:30
Spanish,Categorize language to other adults,Spanish,Categorize language to someone unknown,1,0,0,1,Categorize media,0,Spanish,Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,20140514,44:46.2,Anele,Categorize clip,,20140722,199_20140514_0005.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.36,1,0,0,00:02:30
Spanish,Categorize language to other adults,English/Quechua,Categorize language to someone unknown,1,0,0,1,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Mixed,Categorize language to someone unknown,0,0,20140514,46:46.3,Anele,Categorize clip,,20140722,199_20140514_0007.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.332333333,2,0,0,00:03:30
Spanish,Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,1,0,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Spanish,Categorize language to someone unknown,0,0,20140514,48:05.3,Anele,Categorize clip,,20140722,199_20140514_0009.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.255666667,1,0,0,00:04:30
Categorize language to other child(ren),Categorize language to other adults,Spanish,Categorize language to someone unknown,1,0,0,0,Categorize media,0,Categorize language to other child(ren),Spanish,Spanish,Categorize language to someone unknown,0,0,20140514,49:27.8,Anele,Categorize clip,,20140722,199_20140514_0011.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.408,1,0,0,00:05:30
Spanish,Categorize language to other adults,Spanish,Categorize language to someone unknown,1,0,0,0,Categorize media,0,Categorize language to other child(ren),Spanish,Categorize language to adults,Categorize language to someone unknown,0,0,20140514,50:50.1,Anele,Categorize clip,,20140722,199_20140514_0013.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.392333333,1,0,0,00:06:30
Categorize language to other child(ren),Categorize language to other adults,Spanish,Categorize language to someone unknown,1,0,0,0,Categorize media,0,Categorize language to other child(ren),Spanish,Mixed,Categorize language to someone unknown,0,0,20140514,52:26.6,Anele,Categorize clip,,20140722,199_20140514_0015.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.134666667,1,0,0,00:07:30
Spanish,Categorize language to other adults,Spanish,Categorize language to someone unknown,1,0,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Mixed,Categorize language to someone unknown,0,0,20140514,59:51.7,Anele,Categorize clip,,20140722,199_20140514_0017.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.253,3,0,0,00:08:30
Spanish,Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,1,0,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Spanish,Categorize language to someone unknown,0,0,20140514,01:49.0,Anele,Categorize clip,,20140722,199_20140514_0019.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.098,2,0,0,00:09:30
Spanish,Categorize language to other adults,Spanish,Categorize language to someone unknown,1,0,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Spanish,Categorize language to someone unknown,0,0,20140514,02:31.3,Anele,Categorize clip,,20140722,199_20140514_0021.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.114333333,0,0,0,00:10:30
Categorize language to other child(ren),Categorize language to other adults,Spanish,Categorize language to someone unknown,1,0,0,1,Categorize media,0,Categorize language to other child(ren),Spanish,Spanish,Categorize language to someone unknown,0,0,20140514,03:57.0,Anele,Categorize clip,,20140722,199_20140514_0023.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.403,1,0,0,00:11:30
Categorize language to other child(ren),Categorize language to other adults,Spanish,Categorize language to someone unknown,1,0,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Mixed,Categorize language to someone unknown,0,0,20140514,05:17.6,Anele,Categorize clip,,20140722,199_20140514_0025.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.406333333,1,0,0,00:12:30
Categorize language to other child(ren),Categorize language to other adults,Spanish,Categorize language to someone unknown,1,0,0,0,Categorize media,0,Categorize language to other child(ren),English/Quechua,Categorize language to adults,Categorize language to someone unknown,0,0,20140514,06:57.4,Anele,Categorize clip,,20140722,199_20140514_0027.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.250333333,1,0,0,00:13:30
Spanish,Spanish,Spanish,Categorize language to someone unknown,0,0,0,0,Categorize media,1,Categorize language to other child(ren),Spanish,Spanish,Categorize language to someone unknown,0,0,20140514,09:32.4,Anele,Categorize clip,,20140722,199_20140514_0029.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.408,2,0,0,00:14:30
Categorize language to other child(ren),Categorize language to other adults,English/Quechua,Categorize language to someone unknown,0,0,0,0,Categorize media,1,Categorize language to other child(ren),Spanish,Categorize language to adults,Categorize language to someone unknown,0,0,20140514,11:28.1,Anele,Categorize clip,,20140722,199_20140514_0031.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.395333333,2,0,0,00:15:30
Categorize language to other child(ren),Categorize language to other adults,Spanish,Categorize language to someone unknown,1,0,0,0,Categorize media,0,Categorize language to other child(ren),Spanish,Categorize language to adults,Categorize language to someone unknown,0,0,20140514,12:10.5,Anele,Categorize clip,,20140722,199_20140514_0033.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.590666667,0,0,0,00:16:30
Categorize language to other child(ren),Spanish,Spanish,Categorize language to someone unknown,0,0,0,0,Categorize media,1,Categorize language to other child(ren),Spanish,Spanish,Categorize language to someone unknown,0,0,20140514,13:41.6,Anele,Categorize clip,,20140722,199_20140514_0035.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.4,1,0,0,00:17:30
Spanish,Categorize language to other adults,Spanish,Categorize language to someone unknown,0,0,0,0,Categorize media,1,Categorize language to other child(ren),Spanish,Spanish,Categorize language to someone unknown,1,0,20140514,15:17.0,Anele,Categorize clip,,20140722,199_20140514_0037.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.524333333,1,0,0,00:18:30
Spanish,Categorize language to other adults,Spanish,Categorize language to someone unknown,0,0,0,0,Categorize media,1,Categorize language to other child(ren),Spanish,Spanish,Categorize language to someone unknown,0,0,20140514,16:36.0,Anele,Categorize clip,,20140722,199_20140514_0039.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.523333333,1,0,0,00:19:30
Spanish,Spanish,Categorize language to target child,Categorize language to someone unknown,0,0,0,0,Categorize media,0,Categorize language to other child(ren),Spanish,Categorize language to adults,Categorize language to someone unknown,1,0,20140514,18:41.6,Anele,Categorize clip,,20140722,199_20140514_0041.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.726,2,0,0,00:20:30
Spanish,Categorize language to other adults,Spanish,Categorize language to someone unknown,0,0,0,0,Categorize media,1,Categorize language to other child(ren),Categorize language to target child,Spanish,Categorize language to someone unknown,0,0,20140514,45:36.7,Anele,Categorize clip,AM talking a lot to TC,20140722,199_20140514_0043.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.551,1,0,0,00:21:30
Spanish,Categorize language to other adults,Spanish,Categorize language to someone unknown,0,0,0,0,Categorize media,1,Categorize language to other child(ren),Unsure,Categorize language to adults,Categorize language to someone unknown,0,0,20140514,47:46.2,Anele,Categorize clip,"This is the example of ""Joint Play""",20140722,199_20140514_0045.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.287,2,0,0,00:22:30
Spanish,Categorize language to other adults,Spanish,Categorize language to someone unknown,0,0,0,0,Categorize media,1,Categorize language to other child(ren),Categorize language to target child,Spanish,Categorize language to someone unknown,0,0,20140514,49:14.9,Anele,Categorize clip,"""Joint Play""",20140722,199_20140514_0047.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.555,1,0,0,00:23:30
Spanish,Categorize language to other adults,None,Categorize language to someone unknown,0,0,0,0,Categorize media,1,Categorize language to other child(ren),Unsure,Spanish,Categorize language to someone unknown,1,0,20140514,54:24.8,Anele,Categorize clip,"""Music"" joint activity that seems to end towards the end of the clip",20140722,199_20140514_0049.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.512,3,0,0,00:24:30
Spanish,Categorize language to other adults,Mixed,Categorize language to someone unknown,0,0,0,0,Categorize media,1,Categorize language to other child(ren),Mixed,Mixed,Categorize language to someone unknown,0,0,20140514,56:18.2,Anele,Categorize clip,"""Joint Play"" ",20140722,199_20140514_0051.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.388666667,1,0,0,00:25:30
Spanish,Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,0,0,Categorize media,1,Categorize language to other child(ren),Categorize language to target child,Spanish,Categorize language to someone unknown,0,0,20140514,57:35.1,Anele,Categorize clip,,20140722,199_20140514_0053.wav,male,199,/Volumes/cll/NYU LENA Project/Recordings/6-mo recordings/199 output,0.208666667,1,0,0,00:26:30
